Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
901,2011,17-Mar-11,East,Second Round,5ÊWest Virginia,84,12ÊClemson,76,,8,"Tampa, FL"
902,2011,17-Mar-11,Southwest,Second Round,5ÊVanderbilt,66,12ÊRichmond,69,,-3,"Denver, CO"
903,2011,17-Mar-11,Southeast,Second Round,12ÊUtah State,68,5ÊKansas State,73,,-5,"Tucson, AZ"
904,2011,17-Mar-11,Southeast,Second Round,7ÊUCLA,78,10ÊMichigan State,76,,2,"Tampa, FL"
905,2011,17-Mar-11,West,Second Round,7ÊTemple,66,10ÊPenn State,64,,2,"Tucson, AZ"
906,2011,17-Mar-11,Southeast,Second Round,6ÊSt. John's (NY),71,11ÊGonzaga,86,,-15,"Denver, CO"
907,2011,17-Mar-11,West,Second Round,2ÊSan Diego State,68,15ÊNorthern Colorado,50,,18,"Tucson, AZ"
908,2011,17-Mar-11,Southwest,Second Round,12ÊRichmond,69,5ÊVanderbilt,66,,3,"Denver, CO"
909,2011,17-Mar-11,East,Second Round,13ÊPrinceton,57,4ÊKentucky,59,,-2,"Tampa, FL"
910,2011,17-Mar-11,Southeast,Second Round,1ÊPittsburgh,74,16ÊNorth Carolina-Asheville,51,,23,"Washington, DC"
911,2011,17-Mar-11,West,Second Round,10ÊPenn State,64,7ÊTemple,66,,-2,"Tucson, AZ"
912,2011,17-Mar-11,Southeast,Second Round,9ÊOld Dominion,58,8ÊButler,60,,-2,"Washington, DC"
913,2011,17-Mar-11,West,Second Round,15ÊNorthern Colorado,50,2ÊSan Diego State,68,,-18,"Tucson, AZ"
914,2011,17-Mar-11,Southeast,Second Round,16ÊNorth Carolina-Asheville,51,1ÊPittsburgh,74,,-23,"Washington, DC"
915,2011,17-Mar-11,Southwest,Second Round,13ÊMorehead State,62,4ÊLouisville,61,,1,"Denver, CO"
916,2011,17-Mar-11,West,Second Round,11ÊMissouri,63,6ÊCincinnati,78,,-15,"Washington, DC"
917,2011,17-Mar-11,Southeast,Second Round,10ÊMichigan State,76,7ÊUCLA,78,,-2,"Tampa, FL"
918,2011,17-Mar-11,Southwest,Second Round,4ÊLouisville,61,13ÊMorehead State,62,,-1,"Denver, CO"
919,2011,17-Mar-11,East,Second Round,4ÊKentucky,59,13ÊPrinceton,57,,2,"Tampa, FL"
920,2011,17-Mar-11,Southeast,Second Round,5ÊKansas State,73,12ÊUtah State,68,,5,"Tucson, AZ"
921,2011,17-Mar-11,Southeast,Second Round,11ÊGonzaga,86,6ÊSt. John's (NY),71,,15,"Denver, CO"
922,2011,17-Mar-11,Southeast,Second Round,2ÊFlorida,79,15ÊCalifornia-Santa Barbara,51,,28,"Tampa, FL"
923,2011,17-Mar-11,West,Second Round,3ÊConnecticut,81,14ÊBucknell,52,,29,"Washington, DC"
924,2011,17-Mar-11,East,Second Round,12ÊClemson,76,5ÊWest Virginia,84,,-8,"Tampa, FL"
925,2011,17-Mar-11,West,Second Round,6ÊCincinnati,78,11ÊMissouri,63,,15,"Washington, DC"
926,2011,17-Mar-11,Southeast,Second Round,15ÊCalifornia-Santa Barbara,51,2ÊFlorida,79,,-28,"Tampa, FL"
927,2011,17-Mar-11,Southeast,Second Round,8ÊButler,60,9ÊOld Dominion,58,,2,"Washington, DC"
928,2011,17-Mar-11,West,Second Round,14ÊBucknell,52,3ÊConnecticut,81,,-29,"Washington, DC"
929,2011,17-Mar-11,Southeast,Second Round,3ÊBrigham Young,74,14ÊWofford,66,,8,"Denver, CO"
930,2011,17-Mar-11,Southeast,Second Round,13ÊBelmont,58,4ÊWisconsin,72,,-14,"Tucson, AZ"
931,2011,16-Mar-11,Southwest,First Round,11ÊVirginia Commonwealth,59,11ÊSouthern California,46,,13,"Dayton, OH"
